Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB53,OUT046,2500.8127
DRP47,OUT019,590.7025
FDA14,OUT013,2397.1301
DRC24,OUT035,2497.0442
FDW21,OUT018,1529.2161
NCH29,OUT046,1631.1903
FDU58,OUT013,3130.57
FDY27,OUT017,2862.659
FDV56,OUT035,1673.9679
FDT59,OUT046,4007.3518
FDB23,OUT046,3371.8154
FDR49,OUT045,786.04474
FDB03,OUT010,523.6534
FDN39,OUT045,2782.3694
FDX02,OUT027,5854.5337
FDQ16,OUT027,2693.4277
FDU35,OUT018,1394.3972
NCT29,OUT013,1986.5653
FDZ27,OUT046,719.7219
FDN57,OUT017,2110.3552
FDA03,OUT018,2098.0242
FDZ36,OUT045,3225.0098
NCU05,OUT013,1192.7483
FDT39,OUT018,2085.0293
FDK60,OUT017,1563.3484
FDZ25,OUT017,2942.7942
FDG12,OUT046,2068.8723
DRB01,OUT019,297.83292
NCC43,OUT027,6831.3613
FDX13,OUT019,665.6886
FDM22,OUT049,865.3616
FDJ03,OUT027,1345.6017
FDU14,OUT018,4081.6533
FDB33,OUT010,516.5688
FDP27,OUT046,3203.0442
FDO38,OUT010,202.58604
FDE28,OUT027,6082.889
FDO27,OUT035,1650.6926
DRL23,OUT027,2490.0293
FDS28,OUT046,899.2132
FDX24,OUT013,1429.2919
FDZ02,OUT035,1537.1692
FDL46,OUT045,1742.8502
FDS60,OUT027,4839.289
NCO06,OUT017,632.1815
FDO16,OUT035,1543.6354
FDC60,OUT049,1630.2408
FDA48,OUT018,3308.1128
FDZ36,OUT027,5594.1626
FDK27,OUT045,1967.5519
FDW23,OUT018,525.07404
FDM14,OUT018,1470.2697
FDM14,OUT013,1661.9945
FDW60,OUT018,2528.124
FDE21,OUT013,1948.184
NCM42,OUT035,1752.7767
FDY59,OUT010,234.65366
DRI49,OUT049,1273.7026
FDT28,OUT019,356.92053
FDQ22,OUT018,490.1029
FDR60,OUT049,1292.1503
FDC50,OUT019,307.44037
FDV24,OUT013,2375.4011
DRF48,OUT010,511.21536
FDQ47,OUT046,684.2214
DRN36,OUT049,1544.5756
NCY06,OUT035,2172.8516
FDE52,OUT035,1434.6383
NCB54,OUT045,1960.4672
NCF31,OUT035,2410.6003
FDJ08,OUT027,5018.239
NCC07,OUT017,1676.7516
NCD19,OUT027,1545.5166
FDL46,OUT049,1975.618
FDM20,OUT045,4187.656
NCI06,OUT010,467.0311
DRM11,OUT035,4481.2637
NCH07,OUT018,2326.402
FDS23,OUT013,2081.597
FDO49,OUT018,571.2583
FDS35,OUT049,1090.6779
DRK39,OUT045,1279.824
DRI39,OUT049,927.0656
FDV04,OUT017,2483.644
NCN14,OUT035,3104.212
FDH08,OUT013,4261.916
FDS20,OUT046,3236.5796
FDV40,OUT049,1151.2288
FDZ48,OUT010,247.3415
FDS24,OUT027,2349.2134
FDK44,OUT049,2885.3816
FDS48,OUT045,2491.471
FDK26,OUT010,541.7113
FDD23,OUT045,3177.9312
NCH54,OUT017,2652.6135
NCP14,OUT010,332.9587
FDM60,OUT010,98.82716
FDV24,OUT017,2409.0537
FDH08,OUT018,3194.795
FDS12,OUT027,3236.1445
FDR39,OUT027,4956.578
FDP12,OUT027,989.9293
DRF60,OUT027,6250.843
FDC09,OUT035,1736.7228
FDF50,OUT018,2757.4028
FDG28,OUT035,3995.9548
NCE19,OUT017,866.3319
NCM53,OUT010,242.00412
NCN18,OUT049,1812.3347
FDF32,OUT035,3289.2065
FDF11,OUT013,3937.7524
DRI59,OUT049,4082.9148
NCG54,OUT035,2830.4485
FDM44,OUT046,1639.1323
FDT57,OUT018,3127.0022
FDV24,OUT046,2399.4265
FDI50,OUT019,767.734
FDS09,OUT035,828.02057
NCC31,OUT027,3939.354
FDQ07,OUT019,676.3511
FDC22,OUT017,3177.26
FDZ56,OUT046,2785.3792
FDZ40,OUT019,151.55927
FDS46,OUT027,2933.5837
DRD24,OUT045,2128.185
FDV45,OUT017,3260.25
FDL26,OUT045,2462.1904
FDA56,OUT018,1703.9237
FDN27,OUT046,1701.6971
FDM20,OUT049,4391.6074
FDO16,OUT017,1468.8461
FDL03,OUT035,3247.295
FDE58,OUT046,1862.6785
FDI02,OUT027,3103.169
NCC55,OUT019,106.28464
FDR03,OUT018,3212.1294
FDB14,OUT017,1549.7241
FDR45,OUT013,4012.2122
NCN07,OUT017,2159.1729
FDM51,OUT019,279.17197
FDT52,OUT027,6385.152
FDL26,OUT046,2437.46
NCZ42,OUT046,4126.9917
DRI47,OUT019,425.31143
FDW40,OUT013,2172.6785
FDN34,OUT046,3014.509
FDS01,OUT035,2912.4993
NCG55,OUT045,1875.995
FDC11,OUT035,1371.1198
FDX35,OUT018,3162.675
NCB06,OUT046,2532.3306
FDR09,OUT019,507.09158
FDC53,OUT017,1539.205
FDY45,OUT013,4546.3916
FDA22,OUT010,379.06998
FDE02,OUT035,1621.945
FDW21,OUT045,1737.4832
FDV34,OUT046,1123.588
FDS59,OUT049,1748.4854
NCW17,OUT017,2296.6057
NCK54,OUT046,1934.6144
FDG17,OUT019,537.63257
FDG35,OUT017,2971.779
FDD08,OUT010,89.263565
NCO07,OUT017,3894.9048
FDJ10,OUT010,287.41647
FDW36,OUT017,1673.0466
FDW21,OUT010,318.68475
FDY19,OUT017,2002.0984
DRE03,OUT013,734.91364
NCC55,OUT049,647.14215
FDH52,OUT010,172.69002
FDO09,OUT017,4760.448
FDU43,OUT045,3732.4724
FDX09,OUT010,442.6938
FDH40,OUT019,224.81415
FDW58,OUT017,1727.4512
FDC47,OUT017,4321.9795
NCR41,OUT035,1623.6682
DRG49,OUT035,4376.063
FDC52,OUT027,3868.2817
FDY13,OUT046,1167.0002
FDY35,OUT013,655.04065
FDI35,OUT017,3567.9702
NCU18,OUT049,2466.5598
FDY33,OUT018,2402.8218
FDC15,OUT027,3791.3992
FDU01,OUT049,3296.4888
NCU42,OUT046,3097.687
NCV29,OUT018,2662.8306
NCY30,OUT017,3185.4343
FDQ46,OUT049,1817.4836
FDG58,OUT027,3886.535
FDK33,OUT017,3857.0383
NCD07,OUT045,1784.2488
NCX29,OUT027,3591.4465
NCT42,OUT013,2299.7146
DRN59,OUT035,794.0147
FDI44,OUT035,1307.982
FDA45,OUT049,1895.2373
FDP31,OUT045,848.2078
FDY01,OUT046,1906.9467
FDT09,OUT018,1870.1667
DRH03,OUT027,2378.5938
FDA36,OUT018,2509.4165
NCF31,OUT017,2400.3855
FDG14,OUT049,2487.0103
FDG28,OUT027,5939.028
FDU14,OUT049,4161.319
FDY47,OUT019,296.42786
FDI56,OUT049,1453.5688
DRD01,OUT013,869.11066
FDM22,OUT046,914.3218
FDH33,OUT013,689.84607
DRZ24,OUT013,1922.0477
NCQ38,OUT046,1640.1997
FDO16,OUT027,2230.8655
FDU07,OUT027,3901.928
NCB07,OUT013,2967.091
FDU48,OUT045,2018.3291
NCM43,OUT045,2698.5232
FDR31,OUT010,394.14047
DRK49,OUT018,487.6883
NCI30,OUT010,456.03278
DRD60,OUT017,3064.3892
NCG19,OUT046,3198.9543
FDH12,OUT035,1713.3552
FDM32,OUT035,1524.8706
FDM27,OUT035,2507.2632
NCU53,OUT027,4383.686
NCQ18,OUT046,1615.7561
FDS10,OUT013,2876.0508
FDB33,OUT027,4299.0376
FDI12,OUT013,1367.5913
NCW42,OUT013,3765.363
NCC06,OUT018,1820.9587
FDW02,OUT017,2326.0027
NCD43,OUT017,1666.3613
FDM57,OUT018,1115.4877
FDA58,OUT017,3620.4365
FDK56,OUT046,3060.8562
FDP52,OUT045,4083.5688
FDW20,OUT018,1741.3987
FDS52,OUT049,1642.4055
NCT29,OUT018,1786.8004
NCL54,OUT013,2883.9836
FDC05,OUT045,3012.303
FDF34,OUT035,2965.2334
FDP03,OUT027,3234.6902
FDD32,OUT010,208.36989
FDZ10,OUT045,2165.968
FDZ40,OUT035,898.43365
FDD51,OUT018,480.31332
NCY30,OUT019,488.41522
FDP58,OUT017,3386.9343
FDV49,OUT017,4241.2095
FDY24,OUT019,152.09169
NCO55,OUT017,1727.1042
FDR13,OUT017,1944.0547
FDS51,OUT017,971.83344
FDP26,OUT045,1594.5984
NCB54,OUT027,3368.8396
FDF32,OUT017,3258.0818
FDN31,OUT018,2710.6106
DRM48,OUT017,682.33325
FDN20,OUT049,2809.0571
DRL01,OUT046,3705.471
FDV56,OUT049,1656.9783
DRH13,OUT027,2532.7024
FDA03,OUT017,2434.6218
FDF47,OUT027,5788.301
FDX32,OUT046,2476.313
FDX57,OUT049,1588.3171
NCA30,OUT045,3003.908
FDO49,OUT013,670.5364
FDL04,OUT019,243.8436
DRM48,OUT035,701.23065
FDR16,OUT013,3667.5386
NCC19,OUT018,2952.3252
NCE42,OUT045,3078.6213
FDY24,OUT017,983.0318
FDH19,OUT049,2772.574
FDJ46,OUT013,2758.1663
FDN45,OUT010,498.588
FDY08,OUT035,2108.0112
FDZ37,OUT035,1437.507
NCT30,OUT045,734.46216
DRY23,OUT018,501.82358
NCZ30,OUT018,1854.0127
FDC44,OUT018,1664.6064
FDB45,OUT035,1589.6654
FDY04,OUT013,2536.0554
FDM27,OUT046,2695.6052
FDZ43,OUT017,4282.0947
FDT39,OUT019,375.1341
NCC06,OUT019,322.9898
FDL15,OUT027,3971.9817
FDL57,OUT017,4661.8237
FDU08,OUT046,1480.1665
FDK40,OUT017,4596.416
FDQ12,OUT010,611.11176
FDS48,OUT017,2558.7793
FDP09,OUT045,3459.7507
FDW21,OUT049,1704.6261
FDY25,OUT035,3303.4983
DRE13,OUT017,1370.2277
FDV43,OUT019,122.9591
FDD22,OUT045,1767.0344
FDM46,OUT019,293.11728
NCO30,OUT010,494.52014
FDM25,OUT046,2791.847
NCN41,OUT049,2094.8113
FDU24,OUT045,1551.4518
FDZ50,OUT046,3224.9436
FDP45,OUT013,4019.7197
NCM54,OUT045,2056.9077
FDW10,OUT019,413.58707
FDP20,OUT017,2074.627
FDK32,OUT046,2462.1948
FDN52,OUT049,1379.6342
FDM58,OUT045,1872.2023
FDZ46,OUT027,3029.4275
NCA18,OUT018,1611.1168
FDD35,OUT046,2074.2798
NCK31,OUT035,822.40607
FDI40,OUT027,2727.2346
FDT50,OUT019,219.118
NCT06,OUT046,2680.0725
FDT31,OUT035,3037.3184
FDT45,OUT049,848.9834
FDT13,OUT045,3220.312
FDO50,OUT045,1384.45
NCU18,OUT010,384.33664
NCR54,OUT049,3241.1548
NCO18,OUT018,2569.4646
FDU09,OUT045,857.92035
FDT13,OUT018,2865.5698
FDE09,OUT046,1764.6152
NCK53,OUT019,281.51752
FDG45,OUT049,3478.5173
DRH15,OUT035,745.29956
FDO21,OUT019,573.23083
FDD14,OUT027,5223.3145
FDC09,OUT046,1676.8376
FDH45,OUT027,1113.4913
FDV32,OUT046,1092.6302
FDG12,OUT035,1988.6614
FDS32,OUT013,2103.5396
NCL55,OUT018,3565.7307
DRE01,OUT035,4141.462
DRE15,OUT049,1270.4916
NCL42,OUT045,4030.5576
FDP31,OUT013,827.75244
FDN33,OUT018,1356.3834
FDZ59,OUT046,2734.638
FDE45,OUT010,483.20813
FDJ07,OUT013,1881.1123
FDQ45,OUT018,2789.8853
FDM33,OUT027,5190.951
FDO15,OUT010,182.28088
FDM46,OUT013,1520.5554
FDR03,OUT045,3353.6245
FDY49,OUT018,2508.5867
FDQ60,OUT045,1890.5529
FDW10,OUT049,2676.7002
FDO51,OUT049,696.5855
FDJ40,OUT018,1387.8578
FDS20,OUT018,2828.0564
FDU45,OUT013,1901.8055
FDV02,OUT035,2800.0137
FDN09,OUT046,3908.228
NCM55,OUT027,5049.6997
FDN23,OUT018,2099.9658
FDY31,OUT010,417.3178
FDW03,OUT010,393.6346
FDD14,OUT046,2842.3494
FDV23,OUT017,2054.1152
DRI03,OUT045,2824.6428
FDN13,OUT035,1568.8676
FDF45,OUT027,1802.3339
FDU46,OUT035,1434.55
FDB57,OUT049,3833.805
FDV12,OUT049,1647.6093
FDQ58,OUT013,2394.6238
NCA18,OUT017,1878.8115
FDH52,OUT049,970.0586
FDM24,OUT018,2086.276
NCP43,OUT027,4807.925
NCO18,OUT019,406.049
FDM32,OUT017,1409.5082
NCL07,OUT017,639.50397
FDK03,OUT013,4415.7866
FDP59,OUT017,1566.5212
FDQ24,OUT049,3938.776
FDQ16,OUT018,1478.9813
FDU44,OUT013,2569.5117
FDH28,OUT010,117.18221
FDV28,OUT019,107.089516
FDM22,OUT045,881.33105
FDR56,OUT046,3138.724
FDV39,OUT049,2933.7017
FDU37,OUT019,244.40448
FDQ11,OUT010,579.5404
FDX02,OUT045,3696.9905
NCS42,OUT018,1354.3248
FDY57,OUT027,2619.4033
FDB21,OUT049,4211.7324
FDE28,OUT017,3965.6777
FDQ55,OUT017,2008.5405
FDA48,OUT049,3782.1943
FDZ19,OUT045,2784.2214
NCC43,OUT045,3299.5518
NCV18,OUT046,1532.3105
NCA42,OUT018,2308.192
FDY45,OUT046,3680.736
NCC30,OUT045,2790.0703
FDM57,OUT013,1311.755
FDL09,OUT010,359.89938
FDB09,OUT027,3375.9285
FDT44,OUT035,1922.4891
NCT06,OUT027,4117.8906
FDX26,OUT049,3351.3308
FDK32,OUT013,2466.6934
DRA12,OUT046,2129.2822
FDO46,OUT010,535.55475
FDE52,OUT013,1325.0475
NCH42,OUT045,3855.1116
FDV08,OUT035,726.9585
FDB47,OUT018,2940.2979
FDC28,OUT010,281.0633
FDD22,OUT046,1955.6426
FDS07,OUT027,3161.0652
DRI13,OUT045,3683.1794
FDG32,OUT018,3053.9697
FDU14,OUT017,4351.8896
FDD28,OUT019,178.27719
NCP41,OUT017,1702.7284
FDS08,OUT049,2756.7832
FDX47,OUT045,2484.86
FDC53,OUT019,254.16328
FDQ19,OUT035,4112.598
FDL14,OUT045,2422.243
FDM33,OUT019,591.7659
FDA51,OUT045,1826.1423
FDZ27,OUT018,574.219
FDT04,OUT046,654.22705
DRC13,OUT049,2037.7168
FDR16,OUT027,5331.9644
FDQ03,OUT027,5998.8267
FDE38,OUT035,2811.766
DRH23,OUT027,1833.9608
FDT11,OUT019,491.17004
FDD09,OUT035,3138.9666
FDR40,OUT045,1309.9854
FDX07,OUT017,3365.1611
FDR07,OUT035,1515.7609
FDA51,OUT017,1925.4025
FDT59,OUT019,751.60474
FDF20,OUT017,3278.717
FDR13,OUT045,1884.9143
FDY26,OUT049,3984.4973
FDW04,OUT017,2063.472
FDK52,OUT017,4059.219
FDN60,OUT049,2685.6404
FDM09,OUT019,498.62302
FDP46,OUT049,1395.118
FDB50,OUT019,228.9155
NCQ29,OUT049,3872.6633
FDP16,OUT027,6864.863
FDX33,OUT018,2345.862
FDP07,OUT010,516.73004
FDN22,OUT046,3693.6096
FDF39,OUT049,3993.2793
FDS21,OUT017,995.7042
NCM42,OUT013,1672.0731
FDK50,OUT019,434.95966
DRF13,OUT027,3769.0283
FDH35,OUT018,2282.2876
FDP60,OUT018,1309.7317
DRJ49,OUT027,3224.501
NCT42,OUT019,376.9558
FDE38,OUT049,2815.2295
FDI04,OUT049,3225.672
NCH54,OUT045,2569.938
FDT56,OUT049,957.2006
DRD15,OUT018,2838.7874
FDV58,OUT013,2600.2422
FDP21,OUT049,3402.8638
FDH05,OUT013,3731.9807
FDR10,OUT027,4299.6885
NCP06,OUT045,2346.7817
FDF33,OUT049,1780.071
DRK37,OUT013,3348.3113
DRH49,OUT045,1308.2725
FDT58,OUT013,2665.2185
FDD41,OUT018,1424.5013
FDP40,OUT018,1620.7689
FDM51,OUT027,2636.1912
FDO45,OUT010,206.64156
FDW33,OUT010,244.60275
FDY24,OUT045,1002.1961
FDB10,OUT010,224.90205
FDM40,OUT035,2113.406
NCI06,OUT017,3069.2068
FDW12,OUT019,355.70648
FDX48,OUT027,3980.682
NCW05,OUT027,2716.3643
FDX27,OUT017,1484.1926
DRM37,OUT045,3399.0085
FDA38,OUT045,3539.3518
FDR36,OUT046,740.3306
FDZ45,OUT046,3233.5261
FDG05,OUT017,2555.6326
FDK28,OUT013,4840.2964
FDV47,OUT045,1319.7439
FDN21,OUT045,2421.2078
FDP20,OUT027,3529.202
FDI35,OUT045,3363.533
DRY23,OUT013,662.39966
FDA56,OUT017,2064.58
FDB09,OUT013,2014.6375
NCO26,OUT027,2896.1501
FDQ49,OUT018,2210.4395
FDI52,OUT027,3130.2366
FDZ44,OUT027,3045.153
FDZ09,OUT018,2529.896
FDY03,OUT049,1939.8267
NCG42,OUT017,2188.65
DRI13,OUT027,5404.076
FDQ32,OUT013,2063.6257
FDW16,OUT035,1443.595
FDU27,OUT046,827.2892
FDR28,OUT010,445.59924
FDQ49,OUT010,381.4043
FDS37,OUT046,1918.3115
FDW26,OUT018,3018.8037
FDX12,OUT018,3566.5674
NCP06,OUT013,2402.5828
FDW45,OUT010,379.34866
NCN30,OUT049,1528.8236
FDN24,OUT049,879.4834
NCL41,OUT027,1037.0629
FDR02,OUT019,243.17682
FDD09,OUT010,532.30597
FDS33,OUT010,220.6736
FDU22,OUT045,1983.2166
FDI53,OUT013,2505.8716
DRH01,OUT049,2843.54
FDX32,OUT013,2211.9985
NCP30,OUT018,490.33386
FDB60,OUT045,3091.1182
FDB14,OUT049,1526.0525
NCP02,OUT035,944.5914
FDJ10,OUT017,2103.116
FDG34,OUT046,1832.6768
NCB18,OUT017,1397.1964
FDM16,OUT049,1124.4045
FDW25,OUT018,1262.0679
FDB35,OUT010,258.84186
DRN11,OUT013,2064.138
FDF41,OUT019,609.0837
FDH16,OUT045,1330.7438
NCQ50,OUT018,3143.2239
DRH23,OUT018,745.3684
DRJ37,OUT013,2355.9463
DRJ24,OUT027,5267.77
FDY16,OUT035,3265.278
FDQ27,OUT045,1909.9424
FDZ33,OUT045,2380.6094
FDF29,OUT045,2119.6572
FDA08,OUT049,2602.2695
FDG31,OUT046,1057.9406
FDE34,OUT019,567.27264
NCR30,OUT027,2133.1821
FDV33,OUT035,3876.696
DRZ24,OUT018,1686.3949
NCL54,OUT035,2935.4487
FDR12,OUT049,2941.4553
NCC54,OUT046,3764.1812
DRN59,OUT013,745.45764
FDX50,OUT019,260.20288
FDV31,OUT027,4837.527
NCA29,OUT027,4726.014
FDW60,OUT049,2913.6733
FDX08,OUT017,3386.0176
DRD49,OUT013,3581.9136
FDD33,OUT046,3723.1074
FDW35,OUT013,604.6888
FDJ36,OUT017,1686.8939
FDV51,OUT035,2835.9539
FDW36,OUT046,1617.3794
FDH35,OUT046,2584.6904
NCS30,OUT027,3251.1768
FDN49,OUT017,659.8017
FDL08,OUT018,3083.3188
FDI09,OUT013,4104.842
FDP19,OUT018,1824.9678
FDU21,OUT010,96.200264
NCP41,OUT045,1600.7827
FDY10,OUT013,1897.6757
FDP12,OUT018,458.8308
NCN26,OUT049,1960.9236
FDK44,OUT013,2926.0527
FDC28,OUT049,1682.5728
FDJ41,OUT027,6098.657
NCT29,OUT035,2087.2168
NCH42,OUT019,528.9815
FDU60,OUT018,2404.809
FDS02,OUT045,3245.3647
FDC51,OUT046,2009.9042
FDU03,OUT013,3148.4604
FDX39,OUT045,3686.0945
NCY05,OUT010,95.293785
NCL06,OUT027,6201.252
FDD32,OUT035,1399.0509
NCN41,OUT045,2001.5319
NCX53,OUT049,2390.212
FDU57,OUT019,384.04953
FDQ23,OUT046,1723.7812
FDQ52,OUT045,4262.889
FDC14,OUT045,687.20435
FDY09,OUT035,3030.0566
FDQ28,OUT045,2447.7156
FDV25,OUT046,4181.9717
FDJ07,OUT035,1953.2068
DRB25,OUT049,1653.8375
FDK52,OUT019,551.8389
FDY52,OUT027,1820.0316
FDB28,OUT046,2974.0833
FDT36,OUT035,667.5916
FDV25,OUT017,4105.549
NCN07,OUT027,3413.2124
FDC57,OUT017,3227.484
FDQ03,OUT018,3137.7302
FDU23,OUT017,2900.8577
NCX41,OUT035,3664.4795
NCD06,OUT035,832.6148
FDW08,OUT045,1649.172
NCU29,OUT017,2567.3325
NCE06,OUT013,2396.276
FDV52,OUT010,310.6727
FDB02,OUT017,2971.8774
NCR18,OUT045,628.3818
FDK16,OUT049,1493.5319
NCQ29,OUT010,343.8079
FDZ01,OUT019,290.94785
FDW27,OUT035,2424.726
FDD17,OUT018,3103.553
FDW39,OUT013,2823.099
DRH59,OUT045,1096.8806
FDS52,OUT013,1630.0409
FDU40,OUT027,5509.454
NCF54,OUT013,2698.235
FDH46,OUT045,1690.2599
NCP14,OUT049,1755.8132
FDH50,OUT049,3294.0227
DRF15,OUT010,265.57425
FDV27,OUT027,2364.9104
NCJ06,OUT049,2072.7268
FDN02,OUT018,3081.889
FDQ51,OUT049,782.72675
FDQ07,OUT017,3941.8352
FDS45,OUT049,1893.9601
NCJ06,OUT045,2001.7255
FDD36,OUT035,2000.6664
FDY25,OUT045,3340.8467
FDU52,OUT046,2395.3118
DRK47,OUT017,3988.1936
NCL30,OUT017,2117.467
FDN22,OUT035,3652.2192
NCF30,OUT027,3394.237
FDK03,OUT035,4641.787
FDT45,OUT017,886.5167
NCC54,OUT027,6280.634
FDP08,OUT018,2874.2122
FDU44,OUT046,2628.0159
DRG39,OUT035,874.82996
FDU32,OUT049,2033.7604
FDY27,OUT049,2955.2683
NCP54,OUT013,2051.287
NCZ41,OUT049,2425.2222
DRL49,OUT013,2157.974
FDI05,OUT018,1089.5195
FDY56,OUT045,4023.0452
DRC13,OUT013,1994.1901
NCV29,OUT017,3136.8894
FDR24,OUT049,1414.2699
FDZ34,OUT018,3064.3833
FDP37,OUT035,2159.091
FDX08,OUT027,5027.705
FDS57,OUT045,2161.7122
NCG18,OUT049,1697.3665
FDK25,OUT018,2866.0332
FDH53,OUT049,1285.875
DRI59,OUT018,3391.5347
FDA52,OUT046,2736.8354
FDT20,OUT010,90.862274
FDE36,OUT019,428.23083
FDI24,OUT017,3006.6118
FDB28,OUT018,2812.792
FDV11,OUT017,2878.5825
FDP01,OUT046,2267.162
FDD34,OUT027,4089.9563
FDJ50,OUT027,1411.0876
FDZ44,OUT013,1874.1418
DRO59,OUT035,1184.0082
DRB48,OUT045,701.96265
FDR21,OUT018,2514.0737
NCE42,OUT010,818.1332
FDO23,OUT046,1473.0677
NCE30,OUT018,2618.2563
FDQ22,OUT035,696.08234
FDY01,OUT045,1880.6998
FDS08,OUT017,2756.4321
FDG28,OUT018,2927.4485
FDQ51,OUT018,608.8555
FDB05,OUT017,4343.726
FDO56,OUT049,1923.5048
FDE02,OUT018,1278.6946
FDN45,OUT017,3655.5964
FDS09,OUT013,715.9883
NCA54,OUT018,2740.7625
FDP09,OUT010,447.72284
FDC53,OUT045,1510.8058
NCM55,OUT017,3172.4883
FDL09,OUT018,2408.8926
FDA11,OUT019,248.93202
FDA50,OUT045,1460.4387
FDC23,OUT017,3227.5315
FDE22,OUT049,2678.293
FDD23,OUT046,3237.9807
NCA29,OUT049,3018.2302
FDK38,OUT046,2417.6392
DRC13,OUT046,1976.434
NCP43,OUT049,2977.5474
FDX28,OUT049,1523.2406
FDF08,OUT049,1426.1812
FDZ33,OUT046,2397.4707
FDD10,OUT049,2582.6868
FDO58,OUT017,2661.846
FDI50,OUT017,4236.8975
FDO58,OUT045,2562.2104
FDX08,OUT013,3077.4526
NCK17,OUT010,76.78722
FDF39,OUT035,4782.359
FDU45,OUT010,302.7172
NCJ18,OUT018,1666.3396
DRC27,OUT019,267.66492
DRC25,OUT035,1413.9978
FDU59,OUT035,2471.8599
FDU28,OUT035,3325.127
NCP30,OUT046,648.66974
FDB39,OUT018,680.37604
FDE41,OUT013,1341.289
DRH11,OUT010,219.89772
FDA58,OUT045,3459.8354
FDU50,OUT046,1814.312
FDM34,OUT013,2032.2855
FDM44,OUT027,2723.5874
FDR39,OUT045,3066.7434
FDM25,OUT045,2727.5723
FDQ49,OUT049,2454.1113
DRH25,OUT018,668.9252
FDM09,OUT027,4226.9575
FDL44,OUT019,465.55807
NCR42,OUT018,498.8154
DRL59,OUT046,833.73956
FDX43,OUT013,2584.0664
DRK47,OUT010,534.52704
FDU48,OUT018,1791.9614
FDY12,OUT045,837.70654
NCN43,OUT018,1789.1069
NCM55,OUT018,2698.0076
FDQ21,OUT027,3264.6328
FDX13,OUT035,4307.4937
NCK30,OUT027,6184.1113
FDG20,OUT049,2818.2795
DRG27,OUT017,724.01013
FDY14,OUT018,3983.1763
FDP59,OUT035,1591.2374
FDU60,OUT017,3138.1023
NCC18,OUT019,440.89563
DRJ39,OUT017,3810.7192
FDS07,OUT049,1924.8776
FDM08,OUT027,5628.2734
FDP51,OUT045,2031.3715
FDU16,OUT035,1348.7341
FDH12,OUT013,1687.6842
DRE48,OUT010,610.4609
NCL42,OUT027,6891.4307
FDR21,OUT045,2714.1284
NCW29,OUT035,2204.007
FDO11,OUT013,4468.411
NCM31,OUT049,2223.759
FDV35,OUT019,373.9777
FDF58,OUT017,986.42126
NCE43,OUT049,2895.873
FDA02,OUT035,2531.4937
DRL37,OUT010,129.53075
FDR24,OUT018,1234.3447
FDW59,OUT049,1328.1346
FDS22,OUT049,734.62244
FDW24,OUT017,749.5554
FDU24,OUT035,1623.8467
FDA21,OUT027,5265.7256
FDH58,OUT027,3010.1052
FDW36,OUT018,1399.6691
FDI45,OUT027,4785.9146
FDU01,OUT018,3059.3716
FDF35,OUT027,2851.8489
FDU43,OUT019,314.76797
